DashWare Lum CSV File
Time,Longitude [deg],Latitude [deg],Altitude [m],Speed [m/s],TemperatureA [C],TemperatureB [C],NumSatellites,VerticalSpeed [m/s]
2022/05/28 20:16:00,-119.988920,46.954770,247.7994,0.54986,16.25,21.31,9,0.00
2022/05/28 20:16:02,-119.988910,46.954770,246.6015,1.0103,16.25,21.31,9,0.00
2022/05/28 20:16:04,-119.988910,46.954760,245.6993,1.055,16.25,21.31,9,0.00
2022/05/28 20:16:06,-119.988930,46.954760,244.6995,0.040234,16.25,21.31,9,0.00
2022/05/28 20:16:08,-119.988910,46.954760,243.8004,0.69291,16.19,21.31,9,0.00
2022/05/28 20:16:10,-119.988900,46.954750,242.9012,0.52304,16.25,21.38,9,0.00
2022/05/28 20:16:12,-119.988890,46.954740,242.9012,0.65715,16.25,21.38,9,0.00
2022/05/28 20:16:14,-119.988900,46.954730,242.4989,1.0237,16.25,21.38,9,0.00
2022/05/28 20:16:16,-119.988880,46.954720,241.8009,0.91643,16.25,21.31,9,0.00
2022/05/28 20:16:18,-119.988890,46.954700,242.0996,1.0371,16.31,21.38,9,0.00
2022/05/28 20:16:20,-119.988900,46.954690,241.301,0.1967,16.25,21.31,10,0.00
2022/05/28 20:16:22,-119.988890,46.954680,240.1001,1.0014,16.25,21.31,10,0.00
2022/05/28 20:16:24,-119.988890,46.954670,239.8989,0.45151,16.25,21.38,10,0.00
2022/05/28 20:16:26,-119.988900,46.954670,239.7008,0.2414,16.25,21.38,10,0.00
2022/05/28 20:16:28,-119.988900,46.954670,238.2987,0.093878,16.31,21.31,10,0.00
2022/05/28 20:16:30,-119.988890,46.954670,236.601,0.57668,16.31,21.38,10,-0.37
2022/05/28 20:16:32,-119.988890,46.954670,236.1987,0.20564,16.31,21.38,10,-0.35
2022/05/28 20:16:34,-119.988880,46.954670,235.4001,0.66162,16.31,21.38,10,-0.34
2022/05/28 20:16:36,-119.988860,46.954670,235.0008,0.7555,16.31,21.38,10,-0.32
